date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:29	29501/29501	---M--	200	added ('OK')	image/jpeg	etag:%22733d-52e56a0f2013e%22	https://www.newmystics.com/images/RehanQayoom_300w.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/RehanQayoom_300w.jpg	(from https://www.newmystics.com/lit/RehanQayoom.html)
04:54:29	121109/121109	---M--	200	added ('OK')	application/pdf	etag:%221d915-52e56a1c296ec%22	https://www.newmystics.com/documents/RehanQayoom-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RehanQayoom-Poems.pdf	(from https://www.newmystics.com/lit/RehanQayoom.html)
04:54:29	80760/80760	---M--	200	added ('OK')	application/pdf	etag:%2213b78-477a31a26dc67%22	https://www.newmystics.com/documents/DanRaphael-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/DanRaphael-Poems.pdf	(from https://www.newmystics.com/lit/DanRaphael.html)
04:54:30	27712/27712	---M--	200	added ('OK')	image/jpeg	etag:%226c40-477a313edd84f%22	https://www.newmystics.com/images/ChuckRegan_300wOPT.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/ChuckRegan_300wOPT.jpg	(from https://www.newmystics.com/lit/ChuckRegan.html)
04:54:30	85074/85074	---M--	200	added ('OK')	image/gif	etag:%2214c52-477a313e423e4%22	https://www.newmystics.com/images/ChuckRegan-Frosmer_cdr_fi_OPT.gif	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/ChuckRegan-Frosmer_cdr_fi_OPT.gif	(from https://www.newmystics.com/lit/ChuckRegan.html)
04:54:30	47345/47345	---M--	200	added ('OK')	application/pdf	etag:%22b8f1-477a3193120b9%22	https://www.newmystics.com/documents/ChuckRegan-LittleAgonyC06.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/ChuckRegan-LittleAgonyC06.pdf	(from https://www.newmystics.com/lit/ChuckRegan.html)
04:54:30	86037/86037	---M--	200	added ('OK')	application/pdf	etag:%2215015-477a3191be37d%22	https://www.newmystics.com/documents/ChuckRegan-JestersBliss1.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/ChuckRegan-JestersBliss1.pdf	(from https://www.newmystics.com/lit/ChuckRegan.html)
04:54:31	56793/56793	---M--	200	added ('OK')	application/pdf	etag:%22ddd9-477a319263bc3%22	https://www.newmystics.com/documents/ChuckRegan-JestersBliss2.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/ChuckRegan-JestersBliss2.pdf	(from https://www.newmystics.com/lit/ChuckRegan.html)
04:54:31	182312/182312	---M--	200	added ('OK')	image/jpeg	etag:%222c828-5721484d15d49%22	https://www.newmystics.com/images/RonRiekki_300w.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/RonRiekki_300w.jpg	(from https://www.newmystics.com/lit/RonRiekki.html)
04:54:31	63420/63420	---M--	200	added ('OK')	application/pdf	etag:%22f7bc-5721483ccb394%22	https://www.newmystics.com/documents/RonRiekki-AmbulanceWitch.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RonRiekki-AmbulanceWitch.pdf	(from https://www.newmystics.com/lit/RonRiekki.html)
04:54:32	36371/36371	---M--	200	added ('OK')	image/jpeg	etag:%228e13-532e6676890a1%22	https://www.newmystics.com/images/MarkAntonyRossi.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/MarkAntonyRossi.jpg	(from https://www.newmystics.com/lit/MarkAntonyRossi.html)
04:54:32	41005/41005	---M--	200	added ('OK')	application/pdf	etag:%22a02d-532e666100ea1%22	https://www.newmystics.com/documents/MarkAntonyRossi-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/MarkAntonyRossi-Poems.pdf	(from https://www.newmystics.com/lit/MarkAntonyRossi.html)
04:54:32	25481/25481	---M--	200	added ('OK')	image/jpeg	etag:%226389-532e66763dd85%22	https://www.newmystics.com/images/MarkAntonyRossi-Politicrossicover.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/MarkAntonyRossi-Politicrossicover.jpg	(from https://www.newmystics.com/lit/MarkAntonyRossi.html)
04:54:32	32408/32408	---M--	200	added ('OK')	application/pdf	etag:%227e98-4f8205894b155%22	https://www.newmystics.com/documents/HeatherRomayo-Poems2.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/HeatherRomayo-Poems2.pdf	(from https://www.newmystics.com/lit/HeatherRomayo.html)
04:54:33	37901/37901	---M--	200	added ('OK')	application/pdf	etag:%22940d-4f29ccab90eb5%22	https://www.newmystics.com/documents/HeatherRomayo-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/HeatherRomayo-Poems.pdf	(from https://www.newmystics.com/lit/HeatherRomayo.html)
